sku,currency,min_quantity,price,compare_at_price
DRIP-COFFEE-MAKER-BLACK,USD,1,53.99,
DRIP-COFFEE-MAKER-BLACK,USD,12,49.99,
DRIP-COFFEE-MAKER-BLACK,USD,48,44.99,
DRIP-COFFEE-MAKER-WHITE,USD,1,53.99,
DRIP-COFFEE-MAKER-WHITE,USD,12,49.99,
DRIP-COFFEE-MAKER-WHITE,USD,48,44.99,
DRIP-COFFEE-MAKER-STEEL-GREY,USD,1,53.99,
DRIP-COFFEE-MAKER-STEEL-GREY,USD,12,49.99,
DRIP-COFFEE-MAKER-STEEL-GREY,USD,48,44.99,
2-SLICE-TOASTER-WHITE,USD,1,23.99,
2-SLICE-TOASTER-WHITE,USD,24,21.99,
2-SLICE-TOASTER-WHITE,USD,96,19.99,
2-SLICE-TOASTER-BLACK,USD,1,23.99,
2-SLICE-TOASTER-BLACK,USD,24,21.99,
2-SLICE-TOASTER-BLACK,USD,96,19.99,
2-SLICE-TOASTER-STAINLESS-STEEL,USD,1,23.99,
2-SLICE-TOASTER-STAINLESS-STEEL,USD,24,21.99,
2-SLICE-TOASTER-STAINLESS-STEEL,USD,96,19.99,
ELECTRIC-KETTLE-1-7L-WHITE,USD,1,26.99,
ELECTRIC-KETTLE-1-7L-WHITE,USD,24,24.99,
ELECTRIC-KETTLE-1-7L-WHITE,USD,96,22.49,
ELECTRIC-KETTLE-1-7L-BLACK,USD,1,26.99,
ELECTRIC-KETTLE-1-7L-BLACK,USD,24,24.99,
ELECTRIC-KETTLE-1-7L-BLACK,USD,96,22.49,
